Plant Location,Plant Capacity (m³/day),Project Award Year,Raw Water Salinity (mg/L),Plant Type,Project Financing Type,Capital Cost (USD)
Germany,21851,2001,17844,Brackish water,Private,18791000.0
Saudi Arabia,6802,1996,22040,Waste water,Private,10755000.0
Germany,3805,2008,22753,Sea water,Public,15490000.0
Germany,13856,1993,22223,Brackish water,Private,16755000.0
USA,3299,1999,15871,Waste water,PPP,11321000.0
India,8334,2012,20746,Brackish water,Private,11794000.0
Saudi Arabia,8029,2022,21820,Sea water,Public,15907000.0
USA,24002,1994,20035,Brackish water,Public,17956000.0
Germany,13025,1991,9567,Sea water,Public,10722000.0
South Africa,7902,2019,20802,Waste water,Public,11377000.0
Germany,18357,1999,31062,Sea water,Public,16563000.0
USA,32539,2009,18199,Sea water,Public,19018000.0
Saudi Arabia,14154,2017,16359,Sea water,Public,14567000.0
South Africa,8187,1982,21866,Sea water,PPP,7110000.0
Germany,2182,2007,21561,Waste water,Public,13393000.0
India,2793,2005,25963,Sea water,Private,9283000.0
India,5971,2009,13710,Sea water,Private,8430000.0
Germany,4404,1992,23656,Brackish water,Public,15013000.0
India,6721,1992,22952,Sea water,PPP,6813000.0
Saudi Arabia,8575,1981,19289,Sea water,Private,9006000.0
India,13762,2016,21693,Waste water,Public,9244000.0
India,7551,2017,25147,Waste water,Private,9887000.0
Saudi Arabia,13180,1981,24361,Waste water,Public,8472000.0
USA,8642,2015,14284,Waste water,Private,15745000.0
Brazil,1123,2005,24100,Brackish water,Public,11490000.0
Germany,3167,1990,19676,Sea water,PPP,10774000.0
USA,7015,1987,20364,Waste water,Public,10800000.0
USA,2417,2023,20365,Waste water,Private,17972000.0
Saudi Arabia,14763,2019,19248,Waste water,Public,13995000.0
India,37449,2022,25958,Brackish water,Private,16725000.0
USA,27412,2001,19581,Sea water,Private,17740000.0
Saudi Arabia,6545,1999,14402,Waste water,Public,9582000.0
Germany,35980,1987,18032,Waste water,Private,12356000.0
India,9401,2008,20893,Waste water,Public,8066000.0
USA,5784,2019,26146,Sea water,PPP,18993000.0
India,4387,2005,23015,Sea water,Public,8574000.0
Saudi Arabia,5988,2009,15747,Sea water,PPP,11730000.0
South Africa,5496,1996,32425,Waste water,PPP,9107000.0
USA,9608,1999,21323,Sea water,Public,14970000.0
Germany,9514,1995,26376,Sea water,Public,14028000.0
USA,8127,2022,19241,Waste water,Public,17298000.0
South Africa,12543,1986,22666,Sea water,PPP,7957000.0
Brazil,26652,1995,24197,Waste water,Public,8755000.0
Germany,20942,2024,26090,Sea water,Private,22783000.0
India,1835,2006,25286,Waste water,PPP,7506000.0
Brazil,630,2002,24360,Brackish water,Public,11033000.0
Saudi Arabia,20626,2003,18424,Waste water,Private,12415000.0
Saudi Arabia,2065,1988,17141,Waste water,Public,8114000.0
Germany,6471,2014,21663,Sea water,Public,16735000.0
USA,2514,1999,24665,Sea water,Private,15716000.0
Brazil,1336,2016,18886,Sea water,Public,10229000.0
South Africa,13925,2021,25325,Brackish water,Public,17073000.0
India,17311,1996,27263,Waste water,PPP,7349000.0
Germany,4552,2010,15418,Brackish water,Public,17286000.0
Germany,607,1987,15815,Brackish water,PPP,11397000.0
India,4692,1994,19298,Sea water,PPP,6603000.0
Brazil,11989,2010,21538,Waste water,Public,9546000.0
Brazil,1846,2009,17377,Waste water,Public,8304000.0
India,9733,1999,26761,Sea water,Private,9012000.0
India,7979,2018,22120,Brackish water,Public,12216000.0
USA,14462,1991,20197,Sea water,Public,13461000.0
USA,9132,1996,12820,Brackish water,Private,16011000.0
Brazil,3062,2021,13420,Brackish water,Public,12128000.0
India,26811,2009,21405,Sea water,PPP,9648000.0
USA,6915,2008,9337,Brackish water,Public,16751000.0
USA,7884,1998,25063,Sea water,Public,15311000.0
India,3186,1990,19209,Brackish water,Public,7749000.0
USA,5201,2013,36215,Brackish water,PPP,23884000.0
USA,3344,1986,31539,Sea water,Private,13979000.0
Saudi Arabia,6816,2023,19092,Waste water,PPP,13107000.0
India,44878,2013,19468,Waste water,Public,10435000.0
India,2055,1999,24977,Sea water,Public,7971000.0
Germany,1613,2017,28515,Sea water,Public,18357000.0
India,35283,2003,11809,Waste water,Public,7934000.0
Germany,6572,1989,11068,Waste water,Private,9568000.0
Germany,4150,2011,16889,Sea water,Private,15641000.0
India,22923,1994,22913,Sea water,Public,8208000.0
India,4422,2016,22484,Sea water,PPP,9250000.0
Brazil,50312,1999,25348,Brackish water,Public,14230000.0
India,15961,1982,14001,Sea water,PPP,5390000.0
Saudi Arabia,4974,2016,8419,Sea water,Public,11942000.0
USA,70074,2019,24290,Brackish water,Public,33277000.0
Saudi Arabia,4421,1987,15859,Brackish water,Public,10616000.0
Germany,17019,2019,9907,Sea water,Public,16197000.0
Germany,10930,2023,20725,Brackish water,Private,23808000.0
South Africa,29784,2002,23965,Brackish water,Public,14587000.0
Saudi Arabia,38619,2019,19389,Sea water,Public,17999000.0
Brazil,8366,1990,17710,Sea water,Private,7764000.0
India,3814,1987,19203,Waste water,Private,5837000.0
India,12835,2008,18147,Sea water,PPP,8375000.0
Saudi Arabia,4114,2009,13259,Waste water,Public,10588000.0
Saudi Arabia,60681,1989,16426,Waste water,Private,12332000.0
Saudi Arabia,9288,2018,22606,Sea water,Private,16315000.0
USA,5623,2007,21608,Sea water,Public,16331000.0
India,9746,2015,20840,Brackish water,Public,11739000.0
Germany,2106,1992,15024,Waste water,Public,9808000.0
USA,3066,2011,19092,Waste water,Public,14673000.0
India,26914,2015,9114,Waste water,Public,8439000.0
USA,4201,2016,20892,Sea water,Public,17890000.0
South Africa,2844,2005,27144,Brackish water,Private,14142000.0
South Africa,13858,2001,12629,Brackish water,Private,11853000.0
South Africa,26521,1983,17070,Brackish water,PPP,9196000.0
Saudi Arabia,16629,2010,21645,Sea water,Private,15352000.0
USA,21939,1997,26264,Sea water,Public,16657000.0
South Africa,3801,2017,17758,Waste water,PPP,9818000.0
Saudi Arabia,1955,2003,16538,Brackish water,PPP,12775000.0
South Africa,36363,2002,10155,Sea water,Public,10716000.0
South Africa,5868,2001,20517,Sea water,Private,10430000.0
Brazil,6305,1981,30210,Waste water,PPP,6199000.0
Germany,30582,2010,21386,Waste water,Private,17474000.0
Saudi Arabia,14132,1990,19888,Sea water,PPP,9973000.0
Brazil,12783,2007,21610,Sea water,Public,10270000.0
Germany,70615,2011,19944,Sea water,Public,22677000.0
USA,4257,1984,15934,Waste water,Public,9427000.0
Saudi Arabia,20493,2017,24116,Brackish water,Private,21138000.0
South Africa,8578,1989,21128,Brackish water,PPP,9611000.0
India,10599,2019,20088,Brackish water,PPP,11594000.0
Saudi Arabia,37364,2003,15123,Sea water,Public,13949000.0
USA,13464,2014,26517,Waste water,Public,17937000.0
India,13881,2023,23323,Brackish water,PPP,12899000.0
South Africa,23682,2002,17235,Sea water,Private,11387000.0
USA,5625,1996,25009,Sea water,Public,14638000.0
Saudi Arabia,3500,1980,17512,Brackish water,Public,9475000.0
Brazil,2850,2010,16089,Waste water,Private,8750000.0
India,1134,2010,16201,Sea water,Private,8546000.0
India,63335,2021,11144,Waste water,Public,11554000.0
India,2688,2021,22357,Waste water,Public,9175000.0
Saudi Arabia,6494,2013,10844,Sea water,PPP,11490000.0
Germany,6143,1988,13857,Sea water,Private,10869000.0
Brazil,11019,2001,9622,Sea water,Public,7908000.0
Brazil,18319,1992,19569,Waste water,Public,7512000.0
Brazil,19157,2004,19248,Sea water,Private,10500000.0
South Africa,4522,1997,18366,Sea water,Public,8991000.0
Saudi Arabia,6855,1991,14787,Brackish water,Public,11385000.0
Saudi Arabia,10749,2019,14138,Waste water,Private,13363000.0
India,6318,1996,22321,Sea water,Public,7572000.0
India,40430,1994,17247,Brackish water,Private,10747000.0
India,13239,2021,21581,Brackish water,Public,12980000.0
India,16896,1994,15573,Brackish water,Private,9096000.0
Brazil,15723,1994,20905,Waste water,Public,7758000.0
Germany,26198,2018,26516,Sea water,Public,20977000.0
Saudi Arabia,9711,1992,22930,Waste water,Public,9896000.0
USA,2215,1996,17937,Brackish water,PPP,14764000.0
Saudi Arabia,12084,2011,21285,Brackish water,PPP,16235000.0
USA,4224,1988,18796,Brackish water,Public,14065000.0
Saudi Arabia,4776,2019,20039,Brackish water,Private,18564000.0
Saudi Arabia,14564,1999,18371,Sea water,Private,12528000.0
Germany,27953,2005,19178,Brackish water,PPP,18859000.0
Saudi Arabia,8277,2006,21060,Brackish water,Public,15636000.0
USA,11035,2000,15033,Brackish water,Private,17779000.0
USA,44454,1997,14920,Sea water,Public,16641000.0
Brazil,10308,1992,13057,Waste water,Public,6509000.0
Saudi Arabia,109281,1995,11998,Brackish water,PPP,19651000.0
USA,14264,1988,13913,Sea water,Private,12362000.0
Saudi Arabia,1393,1991,20797,Brackish water,Public,11932000.0
India,17211,2023,15536,Waste water,Public,9433000.0
Germany,11862,2017,22568,Waste water,Private,17210000.0
India,29429,1998,20173,Brackish water,Private,11083000.0
USA,15885,1986,10157,Waste water,Public,9782000.0
USA,7055,2014,23274,Sea water,PPP,17419000.0
Saudi Arabia,2382,1997,24053,Brackish water,Public,13793000.0
Saudi Arabia,6574,1995,15030,Waste water,Public,9112000.0
India,3461,2018,22100,Waste water,PPP,8420000.0
India,4534,1983,15717,Brackish water,Public,6572000.0
South Africa,14597,2004,20488,Waste water,Public,9843000.0
Saudi Arabia,43040,2011,13677,Sea water,Private,16562000.0
Germany,12024,2019,11034,Waste water,PPP,13533000.0
India,2450,1992,18085,Sea water,Public,6532000.0
Germany,12639,2024,19381,Sea water,PPP,17932000.0
Saudi Arabia,26812,1996,18011,Sea water,Private,12896000.0
USA,4403,2016,14079,Brackish water,Public,19494000.0
USA,7086,1985,18000,Sea water,Private,11805000.0
South Africa,8222,1998,21346,Sea water,Public,9749000.0
Brazil,3696,1992,19775,Sea water,Public,7593000.0
India,15495,2005,20912,Sea water,Private,9439000.0
Saudi Arabia,7179,1993,16649,Brackish water,PPP,11470000.0
USA,12326,2010,25858,Brackish water,Public,22441000.0
USA,3335,1983,14119,Sea water,Public,9937000.0
Germany,5231,2018,22437,Waste water,Public,15811000.0
Saudi Arabia,16686,1987,25909,Waste water,Public,9854000.0
India,5581,2004,22404,Waste water,Public,7612000.0
India,45568,1992,18987,Sea water,Public,8648000.0
Germany,5433,2011,17358,Waste water,Private,14304000.0
South Africa,10144,2017,25180,Sea water,Public,13266000.0
India,20590,2017,12885,Sea water,Public,9677000.0
Saudi Arabia,1961,2007,15149,Sea water,PPP,10999000.0
India,1392,2009,18012,Waste water,PPP,7035000.0
Saudi Arabia,1762,1982,26188,Sea water,Public,9137000.0
Germany,28640,2007,21898,Sea water,Public,17659000.0
Saudi Arabia,4666,1982,15159,Sea water,Private,8423000.0
India,104631,2024,18448,Waste water,Public,15529000.0
USA,4608,2013,16928,Brackish water,Public,19652000.0
USA,9745,1995,16451,Sea water,Private,13908000.0
USA,37877,2001,24894,Brackish water,Public,22784000.0
USA,60240,2011,13141,Brackish water,Public,25835000.0
Brazil,63672,2017,28043,Brackish water,Public,19616000.0
India,27129,1987,24141,Sea water,Public,7599000.0
Saudi Arabia,22562,1987,25454,Waste water,Public,10145000.0
USA,14654,1985,17685,Sea water,PPP,11139000.0
Saudi Arabia,17647,1993,19250,Brackish water,Public,13457000.0
Saudi Arabia,4669,2011,12834,Sea water,Public,12035000.0
USA,3575,2014,17376,Sea water,Public,16558000.0
Saudi Arabia,8075,1989,22468,Sea water,PPP,9750000.0
Saudi Arabia,6835,1982,26480,Brackish water,Private,11965000.0
India,5150,1991,14464,Sea water,Public,6216000.0
India,16258,2010,18172,Waste water,PPP,7911000.0
USA,21063,2008,19243,Sea water,Public,17734000.0
Saudi Arabia,8852,1984,13021,Brackish water,Public,9965000.0
India,35508,2004,22956,Waste water,Public,9183000.0
Saudi Arabia,2587,2020,16380,Brackish water,Public,16664000.0
Brazil,6676,2010,19023,Waste water,Public,8909000.0
India,3956,2000,17740,Brackish water,Private,9370000.0
USA,1253,1999,16053,Sea water,Public,13113000.0
USA,7460,2018,19964,Waste water,Private,17510000.0
India,7174,2001,18921,Sea water,Public,7825000.0
USA,36807,1983,18140,Brackish water,Public,15687000.0
Saudi Arabia,15226,1992,16357,Waste water,Public,9411000.0
South Africa,2909,2024,21597,Sea water,PPP,12360000.0
Saudi Arabia,51745,2021,28268,Sea water,Public,21607000.0
Saudi Arabia,27475,1999,20699,Brackish water,Private,16779000.0
India,14502,1992,24980,Waste water,Public,6975000.0
Saudi Arabia,6460,1996,13048,Waste water,Public,8976000.0
Saudi Arabia,3104,2015,20788,Brackish water,Public,16823000.0
South Africa,5584,2012,14513,Brackish water,Public,12583000.0
Saudi Arabia,24070,1980,12615,Waste water,Public,7659000.0
South Africa,53347,1994,16303,Sea water,Public,11306000.0
South Africa,37920,1992,25959,Sea water,Private,11770000.0
USA,4969,1996,24750,Waste water,Public,13075000.0
USA,2644,2003,21215,Waste water,Private,14297000.0
USA,9329,1987,12336,Waste water,Public,9796000.0
USA,1382,2006,19018,Brackish water,Private,19072000.0
USA,11194,2024,21508,Sea water,Private,21744000.0
India,6991,2002,20877,Brackish water,Public,9767000.0
USA,5084,1987,10781,Sea water,Public,10287000.0
Germany,1644,1987,15548,Sea water,Private,10593000.0
Brazil,13542,2005,19679,Waste water,PPP,8360000.0
USA,4756,1992,22681,Sea water,Public,13263000.0
Brazil,2515,2018,9019,Waste water,Public,8163000.0
Germany,458,2016,19189,Brackish water,PPP,18053000.0
USA,7883,2007,20715,Brackish water,Public,19660000.0
India,47679,2004,24248,Sea water,Private,11614000.0
India,42670,1995,23464,Sea water,Public,9366000.0
Brazil,5130,1981,22912,Sea water,Public,6582000.0
India,4437,1997,16000,Waste water,Private,6582000.0
Brazil,12949,1996,10459,Waste water,Private,7157000.0
Germany,2985,2009,18034,Brackish water,Public,17532000.0
USA,10957,2018,25008,Sea water,Public,20186000.0
India,17432,1992,26967,Waste water,Private,7650000.0
Brazil,27637,2011,23552,Sea water,Private,12739000.0
South Africa,7330,2008,22146,Sea water,Public,11235000.0
Saudi Arabia,6609,2009,21898,Brackish water,Private,17110000.0
Saudi Arabia,3367,1997,17219,Waste water,Private,9972000.0
India,3544,1992,19349,Sea water,Private,7055000.0
Germany,6460,2022,28345,Sea water,Private,21014000.0
South Africa,11700,2000,15287,Waste water,Public,8515000.0
Brazil,20202,2009,28073,Sea water,Private,12538000.0
Saudi Arabia,3629,2000,18389,Sea water,Private,11794000.0
India,36050,1996,26627,Brackish water,Public,11395000.0
India,6178,2019,12965,Waste water,Public,8042000.0
USA,7931,1998,22929,Brackish water,Public,17883000.0
South Africa,3838,1994,16316,Waste water,Private,7861000.0
Saudi Arabia,717,1988,12923,Brackish water,Public,10042000.0
Brazil,19614,1989,21092,Sea water,Private,8591000.0
Germany,16930,2023,25047,Waste water,PPP,17615000.0
Brazil,6116,2010,15775,Brackish water,Private,11894000.0
Saudi Arabia,8664,2002,12504,Sea water,PPP,10162366.0
USA,13574,2009,19540,Brackish water,PPP,19537000.0
South Africa,1698,2012,19562,Sea water,Public,10970000.0
USA,4774,1988,22741,Sea water,Private,13072000.0
Germany,17930,1980,24747,Sea water,Public,11792690.0
South Africa,2311,2023,19702,Brackish water,PPP,14234000.0
South Africa,10867,2014,29277,Waste water,Public,12168000.0
Saudi Arabia,2086,1990,21121,Brackish water,PPP,11223000.0
India,12918,2013,18267,Waste water,Private,8931000.0
Saudi Arabia,7819,1995,11942,Sea water,Private,10273000.0
Germany,1611,1988,18686,Sea water,Public,10721000.0
Germany,25971,2011,18318,Sea water,Public,17518000.0
India,3887,1994,24801,Sea water,Private,7859000.0
India,3603,1991,22312,Sea water,Public,6872000.0
India,9902,2012,14103,Waste water,PPP,7339000.0
India,25556,2024,20861,Waste water,Public,10755000.0
USA,2934,1993,23357,Waste water,Private,12728000.0
Saudi Arabia,8618,1987,27640,Sea water,Public,10650000.0
USA,12441,1987,24437,Waste water,Private,12413000.0
Saudi Arabia,16205,2006,23804,Sea water,Private,14940000.0
Saudi Arabia,9666,1991,20300,Sea water,Public,10449000.0
Brazil,5613,1980,21941,Waste water,Public,5752000.0
Saudi Arabia,3541,2022,26247,Brackish water,Public,19638000.0
USA,8832,2019,13336,Sea water,Private,18090000.0
USA,2773,2021,18252,Brackish water,Private,22814000.0
India,436,1990,16137,Sea water,Private,6370000.0
India,12538,2018,21895,Waste water,Private,9905000.0
USA,20008,2022,26151,Brackish water,Public,27108000.0
USA,762,2010,17015,Waste water,Public,13830000.0
India,2952,1996,8048,Sea water,Public,5971000.0
USA,15050,2012,17938,Sea water,Public,17636000.0
Brazil,63417,2011,24567,Brackish water,PPP,16735000.0
India,8273,2008,22688,Brackish water,PPP,10355000.0
USA,3912,2000,22140,Sea water,Public,14782000.0
USA,6748,2000,18600,Waste water,Private,13603000.0
South Africa,32044,2019,13604,Waste water,PPP,11480000.0
Saudi Arabia,4247,2002,22576,Waste water,Public,11036000.0
Saudi Arabia,3643,1985,15828,Waste water,Public,7635000.0
Brazil,5000,2001,30920,Waste water,Public,9115000.0
South Africa,3123,2017,22852,Brackish water,Private,15538000.0
South Africa,9160,2016,17096,Waste water,PPP,9986000.0
India,41137,2024,16943,Sea water,Private,13162000.0
Saudi Arabia,11193,1987,19535,Sea water,Public,9764000.0
USA,6295,2020,18802,Sea water,Public,18455000.0
India,6052,2014,25584,Brackish water,Private,12678000.0
Saudi Arabia,1697,1990,20932,Sea water,PPP,9303000.0
Saudi Arabia,19596,2003,16341,Waste water,Private,12006000.0
South Africa,7496,2000,29452,Sea water,Private,11648000.0
USA,6765,1981,20246,Sea water,Public,10702000.0
Saudi Arabia,197423,2019,23844,Brackish water,PPP,39806000.0
USA,10924,1998,16958,Sea water,Private,14774000.0
Saudi Arabia,3820,2018,21815,Sea water,Public,14792000.0
USA,5290,2007,21555,Sea water,Private,17140000.0
USA,25551,1996,10551,Brackish water,Public,16551000.0
USA,9074,1985,30076,Brackish water,Public,15916000.0
India,1923,1998,26453,Waste water,Public,7201000.0
India,20317,2017,18014,Waste water,Public,9304000.0
Saudi Arabia,4154,2007,14488,Brackish water,Public,14023000.0
South Africa,52748,1981,21737,Sea water,Public,9507000.0
Saudi Arabia,23862,2017,20433,Sea water,Private,17198000.0
Germany,5180,2016,21778,Waste water,Public,15311000.0
Brazil,29173,1983,20957,Sea water,Public,7753000.0
Germany,8672,2001,22531,Sea water,Public,14517000.0
South Africa,19011,2005,27236,Waste water,Private,11710000.0
USA,13157,2022,22840,Brackish water,Public,24988000.0
South Africa,3476,2015,14751,Sea water,Public,10738000.0
USA,4257,1992,26812,Sea water,PPP,13215000.0
Brazil,22696,2011,28203,Waste water,Private,11751000.0
Saudi Arabia,5797,1996,35760,Waste water,PPP,11375000.0
South Africa,5411,2020,14382,Waste water,Public,10325000.0
USA,3117,2015,21214,Brackish water,Public,21155000.0
Saudi Arabia,12377,1998,9589,Brackish water,Private,12882000.0
South Africa,63737,2014,22765,Waste water,Public,15030000.0
Saudi Arabia,2786,2019,17258,Waste water,Public,12538000.0
India,8301,2007,29617,Sea water,Public,9804000.0
India,33263,1980,16126,Waste water,PPP,5363000.0
Saudi Arabia,7482,2021,11554,Sea water,Public,13547000.0
India,12738,1997,17643,Sea water,PPP,7141000.0
Saudi Arabia,2800,2019,10122,Brackish water,PPP,14192000.0
South Africa,12435,2012,23755,Brackish water,Public,14952000.0
USA,6720,1991,9674,Waste water,Private,10382000.0
Germany,21714,1987,20142,Sea water,Private,12927000.0
South Africa,26565,2003,9610,Brackish water,PPP,11494000.0
Brazil,107965,1995,18398,Waste water,Public,12242000.0
Saudi Arabia,14467,1983,28216,Waste water,Private,9782000.0
India,11223,2017,21803,Sea water,Public,10237000.0
